Date,Sales
2013-01-02,5530
2013-01-03,4327
2013-01-04,4486
2013-01-05,4997
2013-01-06,0
2013-01-07,7176
2013-01-08,5580
2013-01-09,5471
2013-01-10,4892
2013-01-11,4881
2013-01-12,4952
2013-01-13,0
2013-01-14,4717
2013-01-15,3900
2013-01-16,4008
2013-01-17,4044
2013-01-18,4127
2013-01-19,5182
2013-01-20,0
2013-01-21,5394
2013-01-22,5720
2013-01-23,5578
2013-01-24,5195
2013-01-25,5586
2013-01-26,5598
2013-01-27,0
2013-01-28,4055
2013-01-29,3725
2013-01-30,4601
2013-01-31,4709
2013-02-01,5633
2013-02-02,5970
2013-02-03,0
2013-02-04,7032
2013-02-05,6049
2013-02-06,6140
2013-02-07,5499
2013-02-08,5681
2013-02-09,5370
2013-02-10,0
2013-02-11,4409
2013-02-12,4015
2013-02-13,4252
2013-02-14,4241
2013-02-15,4809
2013-02-16,6154
2013-02-17,0
2013-02-18,6407
2013-02-19,5386
2013-02-20,5660
2013-02-21,5261
2013-02-22,5000
2013-02-23,5237
2013-02-24,0
2013-02-25,4038
2013-02-26,3794
2013-02-27,4558
2013-02-28,4676
2013-03-01,4611
2013-03-02,5350
2013-03-03,0
2013-03-04,7675
2013-03-05,6300
2013-03-06,5973
2013-03-07,5637
2013-03-08,5853
2013-03-09,5578
2013-03-10,0
2013-03-11,4949
2013-03-12,3853
2013-03-13,4341
2013-03-14,5108
2013-03-15,4925
2013-03-16,5003
2013-03-17,0
2013-03-18,7072
2013-03-19,6563
2013-03-20,5598
2013-03-21,5179
2013-03-22,5506
2013-03-23,5603
2013-03-24,0
2013-03-25,6729
2013-03-26,6686
2013-03-27,6660
2013-03-28,7285
2013-03-29,0
2013-03-30,7132
2013-03-31,0
2013-04-01,0
2013-04-02,5484
2013-04-03,4625
2013-04-04,4293
2013-04-05,4390
2013-04-06,5075
2013-04-07,0
2013-04-08,6046
2013-04-09,5514
2013-04-10,4903
2013-04-11,4366
2013-04-12,5263
2013-04-13,4773
2013-04-14,0
2013-04-15,3941
2013-04-16,3357
2013-04-17,3649
2013-04-18,2952
2013-04-19,4303
2013-04-20,4350
2013-04-21,0
2013-04-22,5672
2013-04-23,4492
2013-04-24,4309
2013-04-25,3939
2013-04-26,4841
2013-04-27,5726
2013-04-28,0
2013-04-29,5821
2013-04-30,5925
2013-05-01,0
2013-05-02,6486
2013-05-03,6027
2013-05-04,5912
2013-05-05,0
2013-05-06,4568
2013-05-07,4624
2013-05-08,5230
2013-05-09,0
2013-05-10,5409
2013-05-11,5064
2013-05-12,0
2013-05-13,6106
2013-05-14,5083
2013-05-15,4790
2013-05-16,4448
2013-05-17,4856
2013-05-18,4413
2013-05-19,0
2013-05-20,0
2013-05-21,4789
2013-05-22,3559
2013-05-23,4030
2013-05-24,4232
2013-05-25,4408
2013-05-26,0
2013-05-27,5519
2013-05-28,4995
2013-05-29,5784
2013-05-30,0
2013-05-31,7893
2013-06-01,5693
2013-06-02,0
2013-06-03,5422
2013-06-04,5220
2013-06-05,5012
2013-06-06,4881
2013-06-07,4315
2013-06-08,4262
2013-06-09,0
2013-06-10,4291
2013-06-11,3784
2013-06-12,3563
2013-06-13,3661
2013-06-14,4150
2013-06-15,4766
2013-06-16,0
2013-06-17,5337
2013-06-18,4633
2013-06-19,4180
2013-06-20,5011
2013-06-21,5173
2013-06-22,4341
2013-06-23,0
2013-06-24,3549
2013-06-25,4536
2013-06-26,3827
2013-06-27,3593
2013-06-28,4407
2013-06-29,5804
2013-06-30,0
2013-07-01,5614
2013-07-02,5868
2013-07-03,5875
2013-07-04,5701
2013-07-05,4986
2013-07-06,4090
2013-07-07,0
2013-07-08,4475
2013-07-09,4047
2013-07-10,3963
2013-07-11,4053
2013-07-12,4134
2013-07-13,4015
2013-07-14,0
2013-07-15,6377
2013-07-16,5643
2013-07-17,4946
2013-07-18,4904
2013-07-19,4275
2013-07-20,4421
2013-07-21,0
2013-07-22,4149
2013-07-23,3937
2013-07-24,3849
2013-07-25,3502
2013-07-26,4221
2013-07-27,3352
2013-07-28,0
2013-07-29,6290
2013-07-30,5773
2013-07-31,5572
2013-08-01,4994
2013-08-02,4494
2013-08-03,4461
2013-08-04,0
2013-08-05,4086
2013-08-06,3582
2013-08-07,4143
2013-08-08,3680
2013-08-09,3257
2013-08-10,3768
2013-08-11,0
2013-08-12,5326
2013-08-13,5299
2013-08-14,4724
2013-08-15,4575
2013-08-16,4552
2013-08-17,4078
2013-08-18,0
2013-08-19,3954
2013-08-20,3492
2013-08-21,3096
2013-08-22,3703
2013-08-23,3493
2013-08-24,4752
2013-08-25,0
2013-08-26,5482
2013-08-27,5156
2013-08-28,4583
2013-08-29,4804
2013-08-30,5469
2013-08-31,5317
2013-09-01,0
2013-09-02,4195
2013-09-03,3928
2013-09-04,3343
2013-09-05,3883
2013-09-06,3836
2013-09-07,4663
2013-09-08,0
2013-09-09,5893
2013-09-10,5403
2013-09-11,5103
2013-09-12,5079
2013-09-13,5187
2013-09-14,4663
2013-09-15,0
2013-09-16,4249
2013-09-17,3685
2013-09-18,3946
2013-09-19,3717
2013-09-20,3516
2013-09-21,3909
2013-09-22,0
2013-09-23,4770
2013-09-24,4274
2013-09-25,4212
2013-09-26,4481
2013-09-27,4669
2013-09-28,4175
2013-09-29,0
2013-09-30,4088
2013-10-01,4178
2013-10-02,4001
2013-10-03,0
2013-10-04,5447
2013-10-05,5352
2013-10-06,0
2013-10-07,6004
2013-10-08,5452
2013-10-09,4957
2013-10-10,5286
2013-10-11,5896
2013-10-12,4954
2013-10-13,0
2013-10-14,3773
2013-10-15,3355
2013-10-16,3383
2013-10-17,3223
2013-10-18,3566
2013-10-19,3667
2013-10-20,0
2013-10-21,5055
2013-10-22,4068
2013-10-23,4612
2013-10-24,4044
2013-10-25,4573
2013-10-26,4347
2013-10-27,0
2013-10-28,3557
2013-10-29,3737
2013-10-30,4119
2013-10-31,4035
2013-11-01,5471
2013-11-02,5233
2013-11-03,0
2013-11-04,5861
2013-11-05,5348
2013-11-06,5572
2013-11-07,5009
2013-11-08,5242
2013-11-09,4681
2013-11-10,0
2013-11-11,4014
2013-11-12,4017
2013-11-13,3310
2013-11-14,3795
2013-11-15,4016
2013-11-16,5071
2013-11-17,0
2013-11-18,5927
2013-11-19,5143
2013-11-20,4936
2013-11-21,4623
2013-11-22,5058
2013-11-23,5297
2013-11-24,0
2013-11-25,4600
2013-11-26,4201
2013-11-27,4561
2013-11-28,4614
2013-11-29,5623
2013-11-30,6373
2013-12-01,0
2013-12-02,6943
2013-12-03,6293
2013-12-04,5688
2013-12-05,5691
2013-12-06,6112
2013-12-07,5799
2013-12-08,0
2013-12-09,4462
2013-12-10,4228
2013-12-11,4301
2013-12-12,4074
2013-12-13,4703
2013-12-14,6119
2013-12-15,0
2013-12-16,8277
2013-12-17,7356
2013-12-18,7821
2013-12-19,6788
2013-12-20,8414
2013-12-21,8043
2013-12-22,0
2013-12-23,9528
2013-12-24,3204
2013-12-25,0
2013-12-26,0
2013-12-27,6110
2013-12-28,5659
2013-12-29,0
2013-12-30,7193
2013-12-31,2362
2014-01-01,0
2014-01-02,4969
2014-01-03,4190
2014-01-04,5173
2014-01-05,0
2014-01-06,6194
2014-01-07,5539
2014-01-08,4931
2014-01-09,4396
2014-01-10,4486
2014-01-11,4454
2014-01-12,0
2014-01-13,3994
2014-01-14,3621
2014-01-15,3776
2014-01-16,3632
2014-01-17,3803
2014-01-18,5128
2014-01-19,0
2014-01-20,6148
2014-01-21,5151
2014-01-22,4562
2014-01-23,4597
2014-01-24,5098
2014-01-25,4546
2014-01-26,0
2014-01-27,3601
2014-01-28,3581
2014-01-29,3789
2014-01-30,4549
2014-01-31,4906
2014-02-01,5292
2014-02-02,0
2014-02-03,5839
2014-02-04,5540
2014-02-05,5031
2014-02-06,4823
2014-02-07,5596
2014-02-08,4726
2014-02-09,0
2014-02-10,3591
2014-02-11,3461
2014-02-12,3662
2014-02-13,3638
2014-02-14,4647
2014-02-15,5258
2014-02-16,0
2014-02-17,5393
2014-02-18,4602
2014-02-19,4935
2014-02-20,4563
2014-02-21,4727
2014-02-22,4820
2014-02-23,0
2014-02-24,3826
2014-02-25,3499
2014-02-26,4108
2014-02-27,3826
2014-02-28,5031
2014-03-01,5307
2014-03-02,0
2014-03-03,6198
2014-03-04,5397
2014-03-05,4916
2014-03-06,4585
2014-03-07,5340
2014-03-08,4400
2014-03-09,0
2014-03-10,3573
2014-03-11,3588
2014-03-12,3805
2014-03-13,3224
2014-03-14,3883
2014-03-15,5042
2014-03-16,0
2014-03-17,5563
2014-03-18,5200
2014-03-19,4036
2014-03-20,4023
2014-03-21,4510
2014-03-22,5241
2014-03-23,0
2014-03-24,3850
2014-03-25,3136
2014-03-26,3225
2014-03-27,3847
2014-03-28,3987
2014-03-29,4583
2014-03-30,0
2014-03-31,6008
2014-04-01,5407
2014-04-02,4834
2014-04-03,4556
2014-04-04,4738
2014-04-05,4599
2014-04-06,0
2014-04-07,3751
2014-04-08,3990
2014-04-09,3919
2014-04-10,3948
2014-04-11,3733
2014-04-12,4435
2014-04-13,0
2014-04-14,6803
2014-04-15,6196
2014-04-16,6381
2014-04-17,6160
2014-04-18,0
2014-04-19,5871
2014-04-20,0
2014-04-21,0
2014-04-22,4133
2014-04-23,3482
2014-04-24,3376
2014-04-25,3710
2014-04-26,3989
2014-04-27,0
2014-04-28,5488
2014-04-29,5923
2014-04-30,5870
2014-05-01,0
2014-05-02,6790
2014-05-03,5498
2014-05-04,0
2014-05-05,5325
2014-05-06,5055
2014-05-07,5075
2014-05-08,5222
2014-05-09,5237
2014-05-10,5996
2014-05-11,0
2014-05-12,3957
2014-05-13,3535
2014-05-14,3710
2014-05-15,3589
2014-05-16,3863
2014-05-17,3785
2014-05-18,0
2014-05-19,5637
2014-05-20,4909
2014-05-21,4298
2014-05-22,3801
2014-05-23,4968
2014-05-24,4574
2014-05-25,0
2014-05-26,3912
2014-05-27,3971
2014-05-28,4616
2014-05-29,0
2014-05-30,5407
2014-05-31,4985
